"age","gender","response"
37,"female",0
39,"female",0
39,"female",0
42,"female",0
47,"female",0
48,"female",0
48,"female",1
52,"female",0
53,"female",0
55,"female",0
56,"female",0
57,"female",0
58,"female",0
58,"female",1
60,"female",0
64,"female",0
65,"female",1
68,"female",1
68,"female",1
70,"female",1
34,"male",1
38,"male",1
40,"male",0
40,"male",0
41,"male",0
43,"male",1
43,"male",1
43,"male",1
44,"male",0
46,"male",0
47,"male",1
48,"male",1
48,"male",1
50,"male",0
50,"male",1
52,"male",1
55,"male",1
61,"male",1
61,"male",1
61,"male",1
